Timestamp,Label,Score,Response Time (s)
2025-06-25 22:35:58,Human,-0.043,0.05
2025-06-25 22:35:59,Human,-0.027,0.077
2025-06-25 22:35:59,Human,-0.038,0.078
2025-06-25 22:35:59,Human,-0.037,0.077
2025-06-25 22:35:59,Human,-0.037,0.077
2025-06-25 22:35:59,Human,-0.044,0.049
2025-06-25 22:35:59,Human,-0.054,0.071
2025-06-25 22:35:59,Human,-0.068,0.08
2025-06-25 22:35:59,Human,-0.061,0.048
2025-06-25 22:35:59,Human,-0.048,0.048
2025-06-25 22:35:59,Human,-0.053,0.078
2025-06-25 22:35:59,Human,-0.047,0.046
2025-06-25 22:35:59,Human,-0.040,0.051
2025-06-25 22:36:00,Human,-0.038,0.071
2025-06-25 22:36:00,Human,-0.045,0.048
2025-06-25 22:36:00,Human,-0.046,0.046
2025-06-25 22:36:00,Human,-0.086,0.046
2025-06-25 22:36:00,Human,-0.058,0.05
2025-06-25 22:36:00,Human,-0.030,0.077
2025-06-25 22:36:00,Human,-0.053,0.052
2025-06-25 22:36:00,Human,-0.046,0.075
2025-06-25 22:36:00,Human,-0.032,0.057
2025-06-25 22:36:00,Human,-0.021,0.088
2025-06-25 22:36:00,Human,-0.050,0.049
2025-06-25 22:36:00,Human,-0.054,0.078
2025-06-25 22:36:01,Human,-0.052,0.079
2025-06-25 22:36:01,Human,-0.057,0.074
2025-06-25 22:36:01,Human,-0.031,0.048
2025-06-25 22:36:01,Human,-0.015,0.077
2025-06-25 22:36:01,Human,-0.019,0.045
2025-06-25 22:36:01,Human,-0.027,0.046
2025-06-25 22:36:01,Human,-0.040,0.045
2025-06-25 22:36:01,Human,-0.024,0.047
2025-06-25 22:36:01,Human,-0.018,0.051
2025-06-25 22:36:01,Human,-0.028,0.08
2025-06-25 22:36:01,Human,-0.050,0.045
2025-06-25 22:36:01,Human,-0.028,0.056
2025-06-25 22:36:01,Human,-0.028,0.071
2025-06-25 22:36:02,Human,-0.030,0.05
2025-06-25 22:36:02,Human,-0.027,0.046
2025-06-25 22:36:02,Human,-0.044,0.048
2025-06-25 22:36:02,Human,-0.017,0.051
2025-06-25 22:36:02,Human,-0.048,0.046
2025-06-25 22:36:02,Human,-0.030,0.074
2025-06-25 22:36:02,Human,-0.032,0.045
2025-06-25 22:36:02,Human,-0.029,0.046
2025-06-25 22:36:02,Human,-0.024,0.048
2025-06-25 22:36:02,Human,-0.035,0.079
2025-06-25 22:36:02,Human,-0.032,0.084
2025-06-25 22:36:02,Human,-0.042,0.074
2025-06-25 22:36:03,Human,-0.015,0.076
2025-06-25 22:36:03,Human,-0.013,0.076
2025-06-25 22:36:03,Human,-0.008,0.081
2025-06-25 22:36:03,Human,-0.027,0.081
2025-06-25 22:36:03,Human,-0.031,0.049
2025-06-25 22:36:03,Human,-0.032,0.049
2025-06-25 22:36:03,Human,-0.023,0.052
2025-06-25 22:36:03,Human,-0.023,0.074
2025-06-25 22:36:03,Human,-0.022,0.106
2025-06-25 22:36:03,Human,-0.012,0.081
2025-06-25 22:36:03,Human,-0.024,0.073
2025-06-25 22:36:04,Human,-0.006,0.077
2025-06-25 22:36:04,Human,-0.018,0.081
2025-06-25 22:36:04,Human,-0.021,0.075
2025-06-25 22:36:04,Human,-0.022,0.083
2025-06-25 22:36:04,Human,-0.029,0.079
2025-06-25 22:36:04,Human,-0.005,0.047
2025-06-25 22:36:04,Human,-0.004,0.047
2025-06-25 22:36:04,Human,-0.003,0.083
2025-06-25 22:36:04,Human,-0.025,0.077
2025-06-25 22:36:04,Human,-0.019,0.08
2025-06-25 22:36:04,Human,-0.029,0.05
2025-06-25 22:36:05,Human,-0.007,0.073
2025-06-25 22:36:05,Human,0.019,0.049
2025-06-25 22:36:05,Human,-0.003,0.048
2025-06-25 22:36:05,Human,-0.003,0.082
2025-06-25 22:36:05,Human,-0.000,0.074
2025-06-25 22:36:05,Human,-0.010,0.081
2025-06-25 22:36:05,Human,-0.015,0.049
2025-06-25 22:36:05,Human,-0.002,0.074
2025-06-25 22:36:05,Human,-0.004,0.081
2025-06-25 22:36:05,Human,-0.008,0.05
2025-06-25 22:36:05,Human,-0.018,0.073
2025-06-25 22:36:05,Human,-0.024,0.084
2025-06-25 22:36:06,Human,-0.052,0.079
2025-06-25 22:36:06,Human,-0.048,0.048
2025-06-25 22:36:06,Human,-0.069,0.049
2025-06-25 22:36:06,Human,-0.070,0.075
2025-06-25 22:36:06,Human,-0.069,0.05
2025-06-25 22:36:06,Human,-0.038,0.074
2025-06-25 22:36:06,Human,-0.033,0.084
2025-06-25 22:36:06,Human,-0.042,0.079
2025-06-25 22:36:06,Human,-0.036,0.075
2025-06-25 22:36:06,Human,-0.045,0.049
2025-06-25 22:36:06,Human,-0.042,0.077
2025-06-25 22:36:07,Human,-0.034,0.061
2025-06-25 22:36:07,Human,-0.067,0.065
2025-06-25 22:36:07,Human,-0.060,0.08
2025-06-25 22:36:07,Human,-0.050,0.078
2025-06-25 22:36:07,Human,-0.050,0.074
2025-06-25 22:36:07,Human,-0.058,0.079
2025-06-25 22:36:07,Human,-0.054,0.085
2025-06-25 22:36:07,Human,-0.060,0.079
2025-06-25 22:36:07,Human,-0.075,0.072
2025-06-25 22:36:07,Human,-0.065,0.078
2025-06-25 22:36:07,Human,-0.039,0.083
2025-06-25 22:36:08,Human,-0.046,0.078
2025-06-25 22:36:08,Human,-0.069,0.047
2025-06-25 22:36:08,Human,-0.042,0.048
2025-06-25 22:36:08,Human,-0.042,0.075
2025-06-25 22:36:08,Human,-0.066,0.082
2025-06-25 22:36:08,Human,-0.047,0.075
2025-06-25 22:36:08,Human,-0.042,0.05
2025-06-25 22:36:08,Human,-0.054,0.083
2025-06-25 22:36:08,Human,-0.045,0.073
2025-06-25 22:36:08,Human,-0.033,0.088
2025-06-25 22:36:08,Human,-0.034,0.074
2025-06-25 22:36:09,Human,-0.033,0.046
2025-06-25 22:36:09,Human,-0.012,0.08
2025-06-25 22:36:09,Human,-0.006,0.048
2025-06-25 22:36:09,Human,-0.031,0.073
2025-06-25 22:36:09,Human,-0.023,0.05
2025-06-25 22:36:09,Human,-0.032,0.081
2025-06-25 22:36:09,Human,-0.022,0.044
2025-06-25 22:36:09,Human,-0.024,0.078
2025-06-25 22:36:09,Human,-0.016,0.046
2025-06-25 22:36:09,Human,-0.022,0.05
2025-06-25 22:36:09,Human,-0.024,0.049
2025-06-25 22:36:09,Human,-0.042,0.073
2025-06-25 22:36:10,Human,-0.042,0.048
2025-06-25 22:36:10,Human,0.001,0.047
2025-06-25 22:36:10,Human,-0.009,0.075
2025-06-25 22:36:10,Human,-0.045,0.062
2025-06-25 22:36:10,Human,-0.029,0.046
2025-06-25 22:36:10,Human,-0.028,0.057
2025-06-25 22:36:10,Human,-0.033,0.095
2025-06-25 22:36:10,Human,-0.041,0.09
2025-06-25 22:36:10,Human,-0.031,0.074
2025-06-25 22:36:10,Human,-0.030,0.075
2025-06-25 22:36:10,Human,-0.029,0.074
2025-06-25 22:36:10,Human,-0.038,0.082
2025-06-25 22:36:11,Human,-0.036,0.076
2025-06-25 22:36:11,Human,-0.030,0.079
2025-06-25 22:36:11,Human,-0.035,0.047
2025-06-25 22:36:11,Human,-0.029,0.075
2025-06-25 22:36:11,Human,-0.032,0.076
2025-06-25 22:36:11,Human,-0.035,0.048
2025-06-25 22:36:17,Human,-0.048,6.008
2025-06-25 22:36:17,Human,-0.051,0.075
2025-06-25 22:36:17,Human,-0.062,0.08
2025-06-25 22:36:17,Human,-0.068,0.048
2025-06-25 22:36:17,Human,-0.070,0.077
2025-06-25 22:36:17,Human,-0.068,0.048
2025-06-25 22:36:18,Human,-0.067,0.084
2025-06-25 22:36:18,Human,-0.051,0.078
2025-06-25 22:36:18,Human,-0.060,0.049
2025-06-25 22:36:18,Human,-0.062,0.076
2025-06-25 22:36:18,Human,-0.081,0.082
2025-06-25 22:36:18,Human,-0.068,0.081
2025-06-25 22:36:18,Human,-0.079,0.08
2025-06-25 22:36:18,Human,-0.057,0.09
2025-06-25 22:36:18,Human,-0.061,0.073
2025-06-25 22:36:18,Human,-0.052,0.078
2025-06-25 22:36:19,Human,-0.058,0.077
2025-06-25 22:36:19,Human,-0.056,0.047
2025-06-25 22:36:19,Human,-0.055,0.047
2025-06-25 22:36:19,Human,-0.080,0.05
2025-06-25 22:36:19,Human,-0.039,0.073
2025-06-25 22:36:19,Human,-0.059,0.05
2025-06-25 22:36:19,Human,-0.071,0.047
2025-06-25 22:36:19,Human,-0.054,0.09
2025-06-25 22:36:19,Human,-0.058,0.065
2025-06-25 22:36:19,Human,-0.059,0.051
2025-06-25 22:36:19,Human,-0.068,0.078
2025-06-25 22:36:19,Human,-0.072,0.082
2025-06-25 22:36:20,Human,-0.045,0.078
2025-06-25 22:36:20,Human,-0.024,0.077
2025-06-25 22:36:20,Human,-0.042,0.082
2025-06-25 22:36:20,Human,-0.041,0.073
2025-06-25 22:36:20,Human,-0.038,0.051
2025-06-25 22:36:20,Human,-0.047,0.046
2025-06-25 22:36:20,Human,-0.051,0.045
2025-06-25 22:36:20,Human,-0.025,0.076
2025-06-25 22:36:20,Human,-0.037,0.051
2025-06-25 22:36:20,Human,-0.056,0.046
2025-06-25 22:36:20,Human,-0.044,0.082
2025-06-25 22:36:20,Human,-0.052,0.074
2025-06-25 22:36:21,Human,-0.055,0.044
2025-06-25 22:36:21,Human,-0.056,0.06
2025-06-25 22:36:21,Human,-0.063,0.076
2025-06-25 22:36:21,Human,-0.041,0.084
2025-06-25 22:36:21,Human,-0.064,0.068
2025-06-25 22:36:21,Human,-0.046,0.08
2025-06-25 22:36:21,Human,-0.051,0.086
2025-06-25 22:36:21,Human,-0.048,0.085
2025-06-25 22:36:21,Human,-0.059,0.066
2025-06-25 22:36:21,Human,-0.062,0.073
2025-06-25 22:36:21,Human,-0.060,0.083
2025-06-25 22:36:22,Human,-0.073,0.079
2025-06-25 22:36:22,Human,-0.046,0.08
2025-06-25 22:36:22,Human,-0.052,0.072
2025-06-25 22:36:22,Human,-0.076,0.048
2025-06-25 22:36:22,Human,-0.065,0.047
2025-06-25 22:36:22,Human,-0.076,0.076
2025-06-25 22:36:22,Human,-0.063,0.049
2025-06-25 22:36:22,Human,-0.074,0.049
2025-06-25 22:36:22,Human,-0.041,0.054
2025-06-25 22:36:22,Human,-0.073,0.068
2025-06-25 22:36:22,Human,-0.048,0.071
2025-06-25 22:36:22,Human,-0.061,0.082
2025-06-25 22:36:23,Human,-0.072,0.08
2025-06-25 22:36:23,Human,-0.057,0.071
2025-06-25 22:36:23,Human,-0.058,0.046
2025-06-25 22:36:23,Human,-0.066,0.045
2025-06-25 22:36:23,Human,-0.044,0.046
2025-06-25 22:36:23,Human,-0.071,0.045
2025-06-25 22:36:23,Human,-0.055,0.047
2025-06-25 22:36:23,Human,-0.034,0.048
2025-06-25 22:36:23,Human,-0.032,0.076
2025-06-25 22:36:23,Human,-0.060,0.075
2025-06-25 22:36:23,Human,-0.050,0.045
2025-06-25 22:36:23,Human,-0.058,0.049
2025-06-25 22:36:23,Human,-0.029,0.049
2025-06-25 22:36:24,Human,-0.056,0.076
2025-06-25 22:36:24,Human,-0.042,0.081
2025-06-25 22:36:24,Human,-0.075,0.046
2025-06-25 22:36:24,Human,-0.043,0.081
2025-06-25 22:36:24,Human,-0.057,0.069
2025-06-25 22:36:24,Human,-0.051,0.048
2025-06-25 22:36:24,Human,-0.039,0.078
2025-06-25 22:36:24,Human,-0.063,0.045
2025-06-25 22:36:24,Human,-0.051,0.08
2025-06-25 22:36:24,Human,-0.038,0.045
2025-06-25 22:36:24,Human,-0.057,0.051
2025-06-25 22:36:24,Human,-0.061,0.046
2025-06-25 22:36:25,Human,-0.053,0.081
2025-06-25 22:36:25,Human,-0.066,0.072
2025-06-25 22:36:25,Human,-0.054,0.047
2025-06-25 22:36:25,Human,-0.037,0.046
2025-06-25 22:36:25,Human,-0.026,0.048
2025-06-25 22:36:25,Human,-0.036,0.071
2025-06-25 22:36:25,Human,-0.058,0.048
2025-06-25 22:36:25,Human,-0.021,0.077
2025-06-25 22:36:25,Human,-0.062,0.045
2025-06-25 22:36:25,Human,-0.055,0.045
2025-06-25 22:36:25,Human,-0.016,0.084
2025-06-25 22:36:25,Human,-0.030,0.066
2025-06-25 22:36:25,Human,-0.055,0.047
2025-06-25 22:36:26,Human,-0.062,0.046
2025-06-25 22:36:26,Human,-0.044,0.046
2025-06-25 22:36:26,Human,-0.032,0.076
2025-06-25 22:36:26,Human,-0.035,0.048
2025-06-25 22:36:26,Human,-0.026,0.044
2025-06-25 22:36:26,Human,-0.034,0.049
2025-06-25 22:36:26,Human,-0.052,0.05
